Date,Open,High,Low,Close,Volume,Adj Close
07/03/2016,102.389999,102.830002,100.959999,101.870003,35828900,100.193556
04/03/2016,102.370003,103.75,101.370003,103.010002,46055100,101.314795
03/03/2016,100.580002,101.709999,100.449997,101.5,36955700,99.829643
02/03/2016,100.510002,100.889999,99.639999,100.75,33169600,99.091985
01/03/2016,97.650002,100.769997,97.419998,100.529999,50407100,98.875604
29/02/2016,96.860001,98.230003,96.650002,96.690002,35216300,95.098802
26/02/2016,97.199997,98.019997,96.580002,96.910004,28991100,95.315183
25/02/2016,96.050003,96.760002,95.25,96.760002,27582700,95.16765
24/02/2016,93.980003,96.379997,93.32,96.099998,36255700,94.518507
23/02/2016,96.400002,96.5,94.550003,94.690002,31942600,93.131715
22/02/2016,96.309998,96.900002,95.919998,96.879997,34280800,95.28567
19/02/2016,96,96.760002,95.800003,96.040001,35374200,94.459497
18/02/2016,98.839996,98.889999,96.089996,96.260002,39021000,94.675878
17/02/2016,96.669998,98.209999,96.150002,98.120003,44863200,96.505269
16/02/2016,95.019997,96.849998,94.610001,96.639999,49057900,95.049622
12/02/2016,94.190002,94.5,93.010002,93.989998,40351400,92.44323
11/02/2016,93.790001,94.720001,92.589996,93.699997,50074700,92.158002
10/02/2016,95.919998,96.349998,94.099998,94.269997,42343600,92.718621
09/02/2016,94.290001,95.940002,93.93,94.989998,44331200,93.426774
08/02/2016,93.129997,95.699997,93.040001,95.010002,54021400,93.446449
05/02/2016,96.519997,96.919998,93.690002,94.019997,46418100,92.472736
04/02/2016,95.860001,97.330002,95.190002,96.599998,46471700,95.010279
03/02/2016,95,96.839996,94.080002,96.349998,45964300,94.252947
02/02/2016,95.419998,96.040001,94.279999,94.480003,37357200,92.423652
01/02/2016,96.470001,96.709999,95.400002,96.43,40943500,94.331208
29/01/2016,94.790001,97.339996,94.349998,97.339996,64416500,95.221398
28/01/2016,93.790001,94.519997,92.389999,94.089996,55678800,92.042134
27/01/2016,96.040001,96.629997,93.339996,93.419998,133369700,91.386718
26/01/2016,99.93,100.879997,98.07,99.989998,75077000,97.813722
25/01/2016,101.519997,101.529999,99.209999,99.440002,51794500,97.275697
22/01/2016,98.629997,101.459999,98.370003,101.419998,65800500,99.212599
21/01/2016,97.059998,97.879997,94.940002,96.300003,52161500,94.20404
20/01/2016,95.099998,98.190002,93.419998,96.790001,72334400,94.683373
19/01/2016,98.410004,98.650002,95.5,96.660004,53087700,94.556205
15/01/2016,96.199997,97.709999,95.360001,97.129997,79010000,95.015969
14/01/2016,97.959999,100.480003,95.739998,99.519997,63170100,97.35395
13/01/2016,100.32,101.190002,97.300003,97.389999,62439600,95.270312
12/01/2016,100.550003,100.690002,98.839996,99.959999,49154200,97.784376
11/01/2016,98.970001,99.059998,97.339996,98.529999,49739400,96.3855
08/01/2016,98.550003,99.110001,96.760002,96.959999,70798000,94.849671
07/01/2016,98.68,100.129997,96.43,96.449997,81094400,94.350769
06/01/2016,100.559998,102.370003,99.870003,100.699997,68457400,98.508268
05/01/2016,105.75,105.849998,102.410004,102.709999,55791000,100.474523
